sample_id,pathway_name,max_prob,mean_prob,n_pairs,partners,directions,rank
ALk1pre,THBS,3.405086072181106e-5,1.1014865153787112e-5,14,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; Granulocytes (Neutrophilic Metamyelocytes); Megakaryocytes,Immune->Plasma,13
ALk1pre,PECAM1,3.0322185347261223e-5,8.595234277301433e-6,28,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Megakaryocytes; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,14
ALk1pre,ICAM,2.725526394086329e-5,6.144892003688088e-6,46,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; gdT; Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class switched; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; Treg,Immune->Plasma; Plasma->Immune,15
ALk1pre,MHC-II,2.486539775940075e-5,5.466474510819088e-6,21,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; Erythroid_CD34+ CD71+ GlyA-; NK cells_CD56-_CD16+_cytokine; pDC; Treg,Plasma->Immune,16
ALk1pre,RESISTIN,2.292921168357942e-5,8.748122033744815e-6,5,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; Erythroid_CD34- CD71+ GlyA-; Granulocytes (Neutrophils),Immune->Plasma,17
ALk1pre,Prostaglandin,1.3367887482326951e-5,2.596523346661851e-6,72,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Megakaryocytes; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; Treg,Immune->Plasma; Plasma->Immune,18
ALk1pre,LAMININ,1.0313783342363498e-5,1.0420874065257906e-6,69,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Megakaryocytes; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,19
ALk1pre,CD48,7.646593699668494e-6,2.574829874695048e-6,8,CD16 Mono; CD8_EM; CD8_TEMRA; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal,Plasma->Immune,20
ALk2,MIF,0.004142674,5.997239596754343e-4,58,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; gdT; Granulocytes (Neutrophils); Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,1
ALk2,MHC-I,0.001812424,2.948339511593343e-4,73,CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; gdT; Granulocytes (Neutrophils); NK cells_CD56-_CD16+_cytokine,Plasma->Immune,2
ALk2,CypA,5.47343826790819e-4,9.271505710243902e-5,29,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Erythroid_CD34- CD71- GlyA+; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; gdT; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,3
ALk2,APP,5.324281696993093e-4,8.005898929220467e-5,8,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Erythroid_CD34- CD71+ GlyA-; Granulocytes (Neutrophils); pDC,Immune->Plasma,4
ALk2,BAFF,4.502362918232248e-4,7.527525690897866e-5,33,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; cDC2; Erythroid_CD34- CD71+ GlyA-; Granulocytes (Neutrophils); NK cells_CD56-_CD16+_cytokine; pDC,Immune->Plasma,5
ALk2,APRIL,1.3117480323683912e-4,3.8993622768600474e-5,16,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Mature B cells class able to switch; NK cells_CD56-_CD16+_cytokine; pDC,Immune->Plasma,6
ALk2,PECAM2,1.301911086845786e-4,2.5007782831043085e-5,19,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Erythroid_CD34- CD71+ GlyA-; gdT; Granulocytes (Neutrophils); NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,7
ALk2,CysLTs,7.666878630663625e-5,7.84388878559621e-6,29,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_Naive; cDC2; Granulocytes (Neutrophils); Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,8
ALk2,MK,7.393123571763128e-5,1.528467516862338e-5,55,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; gdT; Granulocytes (Neutrophils); Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; Treg,Plasma->Immune; Plasma<->Plasma,9
ALk2,GALECTIN,4.311365308973486e-5,1.8499287500171758e-5,11,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Erythroid_CD34- CD71+ GlyA+; Mature B cells class able to switch; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; Treg,Immune->Plasma,10
ALk2,PECAM1,3.748983835499871e-5,1.3980477104574181e-5,18,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Granulocytes (Neutrophils); NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,11
ALk2,ADGRE,3.665055454249062e-5,9.036081015895803e-6,12,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; NK cells_CD56-_CD16+_cytokine,Immune->Plasma; Plasma->Immune,12
ALk2,ICAM,3.413969560864052e-5,7.387281319613978e-6,37,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_EM; CD8_CM; CD8_EM; CD8_TEMRA; cDC2; gdT; Granulocytes (Neutrophils); NK cells_CD56-_CD16+_cytokine; Treg,Immune->Plasma; Plasma->Immune,13
ALk2,MHC-II,3.2167731942900324e-5,1.2617109756175233e-5,11,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; cDC2; NK cells_CD56-_CD16+_cytokine; pDC; Treg,Plasma->Immune,14
